P_NAME,P_STATUS,P_MASS,P_RADIUS,P_YEAR,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ANGULAR_DISTANCE,P_DETECTION,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_AGE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-778 b,3.0,,1.6815,2016,3.7557443,,,Transit,Kepler-778,287.47744,44.237514,15764,899.0,-0.09,0.81,0.77,5.25,5102.0,4.58,",",0.044069207,0.044069207,0.044069207,0.044069208,185.33671,940.01606,Superterran,K,19.165163,19 09 54.5885,+44 14 15.0504,1.6198684,0.59201977,0.43962231,0,0,Hot,0,0.27776726,Lyra,Lyr,Lyre
Kepler-779 b,3.0,,0.91922,2016,7.0971422,,,Transit,Kepler-779,285.62853,44.310889,15649,224.0,-0.43,0.46,0.44,3.89,3804.0,4.81,",",0.05578077,0.05578077,0.05578077,0.055780771,11.673122,470.91407,Terran,M,19.041903,19 02 30.8513,+44 18 39.2004,0.51456683,0.052718863,0.3463132,0,0,Hot,0,0.40374155,Lyra,Lyr,Lyre
Kepler-78 b,3.0,3.1782800,1121,2013,0.35500744,,,Transit,Kepler-78,293.74169,44.44833,11551,124.82,-0.14,0.84,0.75,,5089.0,4.6,",",0.0092560906,0.0092560906,0.0092560906,0.0092560908,3945.3523,2019.1396,Terran,G,19.58278,19 34 58.0093,+44 26 53.9880,1.5697636,0.58600515,0.43528886,0,0,Hot,0,0.29210129,Cygnus,Cyg,Swan
Kepler-780 b,3.0,,0.88559,2016,0.67737516,,,Transit,Kepler-780,281.76639,44.292549,13326,520.0,0.05,1.01,1.02,4.9,5769.0,4.42,",",0.015141521,0.015141521,0.015141521,0.015141521,4503.5204,2087.0504,Terran,G,18.784427,18 47 03.9369,+44 17 33.1764,2.7435277,2.0042059,0.46776886,0,0,Hot,0,0.29190617,Lyra,Lyr,Lyre
Kepler-781 b,3.0,,2.89218,2016,13.214073,,,Transit,Kepler-781,287.65362,47.414811,15987,1036.0,-0.1,0.81,0.78,4.9,5162.0,4.58,",",0.10194416,0.10194416,0.10194416,0.10194417,37.241324,629.36297,Neptunian,K,19.176909,19 10 36.8722,+47 24 53.3196,1.679727,0.65630134,0.43459613,0,0,Hot,0,0.24684753,Lyra,Lyr,Lyre
Kepler-782 b,3.0,,3.20606,2016,158.68533,,,Transit,Kepler-782,288.86823,47.759434,12783,412.0,-0.14,0.98,1.01,5.25,5867.0,4.42,",",0.56965179,0.56965179,0.56965179,0.5696518,3.3371584,344.3413,Neptunian,G,19.257883,19 15 28.3791,+47 45 33.9624,2.809711,2.347993,0.46844659,0,0,Hot,0,0.46826935,Cygnus,Cyg,Swan
Kepler-783 b,3.0,,0.7847,2016,4.2926464,,,Transit,Kepler-783,291.06294,47.484803,13916,544.0,0.01,0.93,0.89,3.89,5521.0,4.51,",",0.050445289,0.050445289,0.050445289,0.05044529,259.1185,1022.1615,Subterran,G,19.404197,19 24 15.1083,+47 29 05.2908,2.1924697,1.2733827,0.4379025,0,0,Hot,0,0.29316386,Cygnus,Cyg,Swan
Kepler-784 b,3.0,,1.58061,2016,31.592265,,,Transit,Kepler-784,295.92066,47.448616,13.29,604.0,0.07,1.0,1.32,9.12,5674.0,4.19,",",0.19553751,0.19553751,0.19553751,0.19553751,42.318833,649.79794,Superterran,G,19.728045,19 43 40.9628,+47 26 55.0176,3.4344776,1.696761,0.51707949,0,0,Hot,0,0.30703058,Cygnus,Cyg,Swan
Kepler-785 b,3.0,,13.02602,2016,1.9737609,,,Transit,Kepler-785,292.0683,38.842261,15715,666.0,-0.02,0.77,0.71,2.82,4739.0,4.62,",",0.028218645,0.028218645,0.028218645,0.028218645,286.07498,1047.7674,Jovian,K,19.471221,19 28 16.3966,+38 50 32.1396,1.2886645,0.31200673,0.38972948,0,0,Hot,0,0.072297704,Lyra,Lyr,Lyre
Kepler-786 b,3.0,,2.43257,2016,53.529349,,,Transit,Kepler-786,293.74394,38.939276,14887,512.0,0.09,0.81,0.74,2.51,4838.0,4.61,",",0.25905932,0.25905932,0.25905932,0.25905933,4.0051345,360.41195,Superterran,K,19.58293,19 34 58.5488,+38 56 21.3936,1.3998179,0.37615,0.38874558,0,0,Hot,0,0.48295532,Cygnus,Cyg,Swan
Kepler-787 b,3.0,,1.27794,2016,0.9283105,,,Transit,Kepler-787,291.69247,38.572907,15854,468.0,-0.09,0.65,0.62,3.39,4248.0,4.67,",",0.016129076,0.016129076,0.016129076,0.016129077,431.11294,1160.8943,Terran,K,19.446165,19 26 46.1953,+38 34 22.4652,0.90420895,0.1268511,0.37980666,0,0,Hot,0,0.29089778,Lyra,Lyr,Lyre
Kepler-788 b,3.0,,2.54467,2016,8.3984627,,,Transit,Kepler-788,290.00041,38.539892,15291,1649.0,0.05,1.16,1.23,3.02,6159.0,4.32,",",0.084943226,0.084943226,0.084943226,0.084943229,270.32249,1033036,Neptunian,F,19.333362,19 20 00.1030,+38 32 23.6112,3.770801,4.1017944,0.4519031,0,0,Hot,0,0.23344621,Lyra,Lyr,Lyre
Kepler-789 b,3.0,,2.11869,2016,8.6384772,,,Transit,Kepler-789,295.97515,38.946652,14507,915.0,-0.06,1.01,1.02,3.72,5870.0,4.42,",",0.082649738,0.082649738,0.082649738,0.08264974,162.0162,908.93854,Superterran,G,19.731678,19 43 54.0404,+38 56 47.9472,2.8404325,2.3839671,0.44677526,0,0,Hot,0,0.25693796,Cygnus,Cyg,Swan
Kepler-79 b,3.0,10.901501,3.4751,2012,13.4845,117,111,Transit,Kepler-79,300.51713,44.38158,13914,1051.43,-73,1.17,1.3,3.44,6174.0,4.27,",",0.11701316,0.115245,0.118755,0.1170033,160.73816,907.10243,Neptunian,F,20.034476,20 02 04.1152,+44 22 53.6880,4.0048356,4.2209313,0.46314097,0,0,Hot,0,0.19958701,Cygnus,Cyg,Swan
Kepler-79 c,3.0,6.0387321,3.72172,2012,27.4029,187,178,Transit,Kepler-79,300.51713,44.38158,13914,1051.43,-73,1.17,1.3,3.44,6174.0,4.27,",",0.18708415,0.18139,0.19261,0.18702106,62.943974,717.48053,Neptunian,F,20.034476,20 02 04.1152,+44 22 53.6880,4.0048356,4.2209313,0.46314097,0,0,Hot,0,0.20291472,Cygnus,Cyg,Swan
Kepler-79 d,3.0,6.0387321,7.16319,2014,52.0902,287,273,Transit,Kepler-79,300.51713,44.38158,13914,1051.43,-73,1.17,1.3,3.44,6174.0,4.27,",",0.28708969,0.279825,0.294175,0.28702243,26.718607,579.15853,Jovian,F,20.034476,20 02 04.1152,+44 22 53.6880,4.0048356,4.2209313,0.46314097,0,0,Hot,0,0.15415122,Cygnus,Cyg,Swan
Kepler-79 e,3.0,4.1317640,3.48631,2014,81.0659,386,367,Transit,Kepler-79,300.51713,44.38158,13914,1051.43,-73,1.17,1.3,3.44,6174.0,4.27,",",0.38602779,0.381368,0.390632,0.38600701,14.767212,499.41063,Neptunian,F,20.034476,20 02 04.1152,+44 22 53.6880,4.0048356,4.2209313,0.46314097,0,0,Hot,0,0.26872179,Cygnus,Cyg,Swan
Kepler-790 b,3.0,,2.17474,2016,13.734698,,,Transit,Kepler-790,286.91712,38.872221,15187,727.0,-0.05,0.84,0.8,4.9,5208.0,4.56,",",0.10588036,0.10588036,0.10588036,0.10588036,37.628917,630.99416,Superterran,K,19.127809,19 07 40.1117,+38 52 19.9956,1.7536383,0.71893474,0.43989661,0,0,Hot,0,0.28026001,Lyra,Lyr,Lyre
Kepler-791 b,3.0,,3.04912,2016,14.553976,,,Transit,Kepler-791,293.59584,39.029477,14377,1447.0,0.06,1.3,1.47,2.24,6383.0,4.21,",",0.12729513,0.12729513,0.12729513,0.12729513,198.33489,956.08101,Neptunian,F,19.573057,19 34 23.0055,+39 01 46.1172,4.8403316,6.2603618,0.4465951,0,0,Hot,0,0.21382693,Cygnus,Cyg,Swan
Kepler-792 b,3.0,,1.96175,2016,11.301192,,,Transit,Kepler-792,292.00681,38.820733,14981,1205.0,0.08,1.09,1.12,3.39,5971.0,4.38,",",0.10140699,0.10140699,0.10140699,0.10140699,138.92397,874.65988,Superterran,G,19.467122,19 28 01.6388,+38 49 14.6388,3.2271582,2.9086617,0.45123241,0,0,Hot,0,0.26615305,Lyra,Lyr,Lyre
Kepler-793 b,3.0,,1.36762,2016,4.2415364,,,Transit,Kepler-793,295.21664,38.774343,14621,794.0,0.0,0.98,0.97,4.27,5745.0,4.46,",",0.050925313,0.050925313,0.050925313,0.050925314,354.09911,1105.1624,Terran,G,19.68111,19 40 51.9973,+38 46 27.6348,2.5873781,1.9040152,0.45258988,0,0,Hot,0,0.28835544,Cygnus,Cyg,Swan
Kepler-794 b,3.0,,2.10748,2016,11.131251,,,Transit,Kepler-794,288.1337,38.996881,13459,763.0,0.34,1.19,1.38,4.07,5839.0,4.23,",",0.10336842,0.10336842,0.10336842,0.10336842,185.62009,940.37517,Superterran,G,19.208914,19 12 32.0918,+38 59 48.7716,3.8024554,2.38733,0.47900446,0,0,Hot,0,0.25646254,Lyra,Lyr,Lyre
Kepler-795 b,3.0,,1.6815,2016,29.619342,,,Transit,Kepler-795,291.01905,38.54558,13331,458.0,-0.02,0.94,0.96,6.46,5631.0,4.45,",",0.1834858,0.1834858,0.1834858,0.1834858,24.658594,567.72365,Superterran,G,19.401271,19 24 04.5747,+38 32 44.0880,2.4600865,1.5437616,0.478233,0,0,Hot,0,0.32369605,Lyra,Lyr,Lyre
Kepler-796 b,3.0,,1.30036,2016,6.4008762,,,Transit,Kepler-796,287.30786,39.144731,12988,377.0,0.09,0.93,1.09,11.75,5475.0,4.33,",",0.065841061,0.065841061,0.065841061,0.065841063,220.64012,981.89723,Terran,G,19.153858,19 09 13.8893,+39 08 41.0316,2.6406013,1.1766235,0.52649243,0,0,Hot,0,0.29321755,Lyra,Lyr,Lyre
Kepler-797 b,3.0,,2.17474,2016,27.072377,,,Transit,Kepler-797,297.20896,41.781708,14556,752.0,-0.02,0.96,0.95,3.89,5680.0,4.47,",",0.17402738,0.17402738,0.17402738,0.17402738,27.790352,584.94957,Superterran,G,19.813932,19 48 50.1553,+41 46 54.1488,2.4770135,1.6911721,0.44256138,0,0,Hot,0,0.29190029,Cygnus,Cyg,Swan
Kepler-798 b,3.0,,2.38773,2016,13.719334,,,Transit,Kepler-798,292.47821,42.142291,14.2,1085.0,0.03,1.19,1.29,2.82,6224.0,4.29,",",0.11882666,0.11882666,0.11882666,0.11882666,158.45962,903.90869,Superterran,F,19.498548,19 29 54.7738,+42 08 32.2476,4.038657,4.6255979,0.45059048,0,0,Hot,0,0.2440659,Cygnus,Cyg,Swan
Kepler-799 b,3.0,,6.88294,2016,133.46052,,,Transit,Kepler-799,287.17489,44.878571,15.12,1029.0,-0.07,0.95,0.93,3.98,5681.0,4.49,",",0.5023264,0.5023264,0.5023264,0.50232641,3.1987603,340.71428,Jovian,G,19.144994,19 08 41.9782,+44 52 42.8556,2.4257197,1.6881772,0.44270377,0,0,Hot,0,0.35533953,Lyra,Lyr,Lyre
Kepler-8 b,3.0,187.51852,15.87336,2010,3.5224991,0.0474,45,Transit,Kepler-8,281.28812,42.45108,13.9,1052.9,-55,1.21,1.49,,6213.0,4.17,",",0.0474,0.0474,0.0474,0.047400001,1319.1978,1535403,Jovian,F,18.752542,18 45 09.1518,+42 27 03.8880,4.6483313,4.5642916,0.49160118,0,0,Hot,0,0.058203398,Lyra,Lyr,Lyre
